c,idnew,trtid4,geoid10
10,1332,06037433802,"06037433802"
10,1333,06037433901,"06037433901"
4,1334,06037433902,"06037433902"
4,1335,06037434001,"06037434001"
4,1336,06037434003,"06037434003"
4,1337,06037434004,"06037434004"
9,1338,06037460000,"06037460000"
11,1339,06037460100,"06037460100"
1,1340,06037460200,"06037460200"
1,1341,06037460301,"06037460301"
1,1342,06037460302,"06037460302"
1,1343,06037460401,"06037460401"
9,1344,06037460501,"06037460501"
9,1345,06037460502,"06037460502"
9,1346,06037460600,"06037460600"
9,1347,06037460700,"06037460700"
11,1348,06037460800,"06037460800"
6,1349,06037460900,"06037460900"
6,1350,06037461000,"06037461000"
1,1351,06037461100,"06037461100"
11,1352,06037461200,"06037461200"
11,1353,06037461300,"06037461300"
11,1354,06037461400,"06037461400"
6,1355,06037461501,"06037461501"
6,1356,06037461502,"06037461502"
6,1357,06037461600,"06037461600"
11,1358,06037461700,"06037461700"
4,1359,06037461901,"06037461901"
10,1360,06037461902,"06037461902"
